family,total_importance,mean_importance,n_features
l_CLI,0.4477858155378285,0.005891918625497743,76
l_TOP,0.20069357087427692,0.0013937053532935898,144
metadata_status,0.08294094308334873,0.020735235770837183,4
l_SOL,0.08021620167416232,0.001336936694569372,60
u_CLI,0.07179246411932778,0.003778550743122515,19
u_TOP,0.047637778217053804,0.001190944455426345,40
metadata_year,0.02794293262015794,0.02794293262015794,1
u_SOL,0.024355575603975065,0.0016237050402650042,15
u_LAC,0.009890989414130618,0.0004495904279150281,22
l_LAC,0.0028569271182448015,0.0001298603235565819,22
metadata_distance,0.0025876740416800686,0.0025876740416800686,1
metadata_strahler,0.0012991276958135474,0.0012991276958135474,1
