Status,risk_tertile,n,actual_low_rate,mean_predicted_risk
Alien,low risk,3853,0.044121463794445884,0.04641625486353888
Alien,medium risk,18214,0.14796310530361262,0.3034752811577631
Alien,high risk,29537,0.7109049666519958,0.780458342001489
Introduced,low risk,426,0.014084507042253521,0.05314277449022078
Introduced,medium risk,1889,0.07887771307570143,0.28812806547141934
Introduced,high risk,1091,0.5747021081576535,0.7375168987775579
Native,low risk,34110,0.0019055995309293463,0.03697267813722639
Native,medium risk,18254,0.06875205434425331,0.2454943158154706
Native,high risk,7754,0.730719628578798,0.818438146000867
Type locality,low risk,3,0.0,0.052506274104799217
Type locality,medium risk,29,0.20689655172413793,0.37761419860478024
Type locality,high risk,12,0.6666666666666666,0.686154950794651
