risk_decile,n,actual_low_rate,mean_predicted_risk,median_predicted_risk,alien_rate,native_rate,median_year,median_distance_m,median_strahler
1,11521,0.001128374273066574,0.01658549027178411,0.01679251711851431,0.05069004426699071,0.94627202499783,2005.0,43.13158208,4.0
2,11518,0.0046014933148115994,0.031179739700780994,0.030934984834333257,0.0980204896683452,0.892863344330613,1998.0,50.2956605,4.0
3,11519,0.008941748415661081,0.052478422948519864,0.05129124787044512,0.12692073964753886,0.8576265300807362,1998.0,53.04006326,3.0
4,11519,0.03073183436062158,0.10986834070756427,0.10650340013902192,0.28900078131782275,0.6706311311745812,2010.0,52.26832102,3.0
5,11519,0.06797465057730706,0.21160412568863998,0.21131861655371434,0.3857105651532251,0.5670631131174582,2014.0,56.04111121,3.0
6,11520,0.12039930555555556,0.32254505563310043,0.3197878559060433,0.5381944444444444,0.41458333333333336,2016.0,56.625403164999994,3.0
7,11519,0.25714037676881674,0.482698447893775,0.478526917040186,0.6671586075180137,0.27215904158347076,2015.0,60.90525101,2.0
8,11519,0.5425818213386578,0.6877246750782658,0.6912367226273981,0.805538675232225,0.15209653615765256,2016.0,67.71002342,2.0
9,11518,0.7523875672859871,0.8244442716087533,0.8262359684100675,0.8798402500434103,0.11121722521271055,2018.0,81.483772985,2.0
10,11519,0.9614549874121018,0.92818292672003,0.9259953505991438,0.6388575397169893,0.33440402812744163,2016.0,94.86963895,1.0
