WoCID,Accuracy,is_low,p_low_accuracy,risk_tertile,risk_decile,Status,Year_of_record,distance_m,strahler,basin_id,Crayfish_scientific_name,lat_or,long_or,lat_snap,long_snap
WA0001,High,0,0.6123302451166059,high risk,8,Native,2016.0,226.094012,2,1173421,Austropotamobius fulcisianus,45.7,9.366667,45.701667,9.365
WA0002,High,0,0.5175419435274958,high risk,7,Native,2016.0,56.5520899,1,1173421,Austropotamobius fulcisianus,45.716667,9.35,45.717084,9.350417
WA0003,High,0,0.6464122182944956,high risk,8,Native,2016.0,112.9934398,2,1173421,Austropotamobius fulcisianus,45.883333,8.883333,45.884167,8.884167
WA0004,High,0,0.7020210255186081,high risk,8,Native,2016.0,56.49125641,1,1173421,Austropotamobius fulcisianus,45.9,8.783333,45.900417,8.78375
WA0005,High,0,0.5306132679745008,high risk,7,Native,2016.0,112.9934398,2,1173421,Austropotamobius fulcisianus,45.883333,8.783333,45.884167,8.784167
WA0006,High,0,0.7103570222042972,high risk,8,Native,2016.0,56.40570268,1,1173421,Austropotamobius fulcisianus,45.883333,8.766667,45.882917,8.76625
WA0007,High,0,0.5404496643038375,high risk,7,Native,2016.0,138.9938765,2,1173421,Austropotamobius fulcisianus,45.866667,8.8,45.865417,8.8
WA0008,High,0,0.6537374475208098,high risk,8,Native,2016.0,46.25716209,1,1173421,Austropotamobius fulcisianus,45.883333,9.3,45.882917,9.3
WA0009,High,0,0.5519766988002174,high risk,7,Native,2016.0,56.50232099,2,1173421,Austropotamobius fulcisianus,45.866667,9.3,45.867084,9.300417
WA0010,High,0,0.6837952174960936,high risk,8,Native,2016.0,56.46375874,1,1173421,Austropotamobius fulcisianus,45.85,9.266667,45.849583,9.267083
WA0011,High,0,0.5519766988002174,high risk,7,Native,2016.0,56.50232099,2,1173421,Austropotamobius fulcisianus,45.866667,9.3,45.867084,9.300417
WA0012,High,0,0.4666041893267141,medium risk,7,Native,2016.0,56.90826795,1,1173421,Austropotamobius fulcisianus,44.5,10.533333,44.500417,10.532917
WA0013,High,0,0.37082139780448375,medium risk,6,Native,2016.0,236.0785958,1,1173421,Austropotamobius fulcisianus,44.466667,10.366667,44.46625,10.36375
WA0014,High,0,0.4318673669488754,medium risk,7,Native,2016.0,46.36835719,1,1173421,Austropotamobius fulcisianus,44.5,10.483333,44.500417,10.483333
WA0015,High,0,0.35149118281230673,medium risk,6,Native,2016.0,109.1621564,2,1173421,Austropotamobius fulcisianus,44.683333,9.333333,44.68375,9.332083
WA0016,High,0,0.2862755867772323,medium risk,6,Native,2016.0,164.9190425,3,1173421,Austropotamobius fulcisianus,44.6,9.316667,44.6,9.31875
WA0017,High,0,0.42674608385008367,medium risk,7,Native,2016.0,170.5941593,1,1173421,Austropotamobius fulcisianus,44.633333,9.3,44.634583,9.29875
WA0018,High,0,0.4026816460657146,medium risk,7,Native,2016.0,251.8554662,1,1173421,Austropotamobius fulcisianus,44.633333,9.316667,44.63125,9.315417
WA0019,High,0,0.26357144258958376,medium risk,6,Native,2016.0,46.36835719,5,1173421,Austropotamobius fulcisianus,44.65,9.316667,44.650417,9.316667
WA0020,High,0,0.4331949225579024,medium risk,7,Native,2016.0,56.90485415,1,1173421,Austropotamobius fulcisianus,44.65,9.3,44.650417,9.300417
WA0021,High,0,0.2338195605795664,medium risk,5,Native,2016.0,113.6517023,5,1173421,Austropotamobius fulcisianus,44.683333,9.3,44.6825,9.300833
WA0022,High,0,0.22134807636584983,medium risk,5,Native,2016.0,113.6517023,5,1173421,Austropotamobius fulcisianus,44.683333,9.3,44.6825,9.300833
WA0023,High,0,0.640556390456543,high risk,8,Native,2016.0,169.4054578,2,1173421,Austropotamobius fulcisianus,45.833333,9.416667,45.832083,9.417917
WA0024,High,0,0.5304156366574814,high risk,7,Native,2016.0,231.6193958,1,1173421,Austropotamobius fulcisianus,45.816667,9.416667,45.81875,9.416667
WA0025,High,0,0.6544679044121885,high risk,8,Native,2016.0,56.46375874,1,1173421,Austropotamobius fulcisianus,45.85,9.266667,45.849583,9.267083
WA0026,High,0,0.616483589567459,high risk,8,Native,2016.0,142.6946734,1,1173421,Austropotamobius fulcisianus,45.866667,9.283333,45.867917,9.28375
WA0027,High,0,0.6288566444850232,high risk,8,Native,2016.0,226.094012,2,1173421,Austropotamobius fulcisianus,45.7,9.366667,45.701667,9.365
WA0028,High,0,0.6951893778866876,high risk,8,Introduced,2015.0,10.250079,2,1173482,Austropotamobius fulcisianus,48.457694,9.258611,48.457694,9.25875
WA0029,High,0,0.7189985410202674,high risk,8,Introduced,2015.0,10.250079,2,1173482,Austropotamobius fulcisianus,48.457694,9.258611,48.457694,9.25875
WA0030,High,0,0.5146162418647883,high risk,7,Introduced,2016.0,176.0218452,7,1173198,Austropotamobius fulcisianus,43.257,-2.923,43.255417,-2.923
WA0031,High,0,0.46737639685364224,medium risk,7,Introduced,2016.0,176.0218452,7,1173198,Austropotamobius fulcisianus,43.257,-2.923,43.255417,-2.923
WA0032,High,0,0.5044414737386794,medium risk,7,Introduced,2016.0,176.0218452,7,1173198,Austropotamobius fulcisianus,43.257,-2.923,43.255417,-2.923
WA0033,High,0,0.5044414737386794,medium risk,7,Introduced,2016.0,176.0218452,7,1173198,Austropotamobius fulcisianus,43.257,-2.923,43.255417,-2.923
WA0034,High,0,0.5044414737386794,medium risk,7,Introduced,2016.0,176.0218452,7,1173198,Austropotamobius fulcisianus,43.257,-2.923,43.255417,-2.923
WA0035,High,0,0.46737639685364224,medium risk,7,Introduced,2016.0,176.0218452,7,1173198,Austropotamobius fulcisianus,43.257,-2.923,43.255417,-2.923
WA0036,High,0,0.5044414737386794,medium risk,7,Introduced,2016.0,176.0218452,7,1173198,Austropotamobius fulcisianus,43.257,-2.923,43.255417,-2.923
WA0037,High,0,0.46325272597293066,medium risk,7,Introduced,2016.0,176.0218452,7,1173198,Austropotamobius fulcisianus,43.257,-2.923,43.255417,-2.923
WA0038,High,0,0.46325272597293066,medium risk,7,Introduced,2016.0,176.0218452,7,1173198,Austropotamobius fulcisianus,43.257,-2.923,43.255417,-2.923
WA0039,High,0,0.5146162418647883,high risk,7,Introduced,2016.0,176.0218452,7,1173198,Austropotamobius fulcisianus,43.257,-2.923,43.255417,-2.923
WA0040,High,0,0.5044414737386794,medium risk,7,Introduced,2016.0,176.0218452,7,1173198,Austropotamobius fulcisianus,43.257,-2.923,43.255417,-2.923
WA0041,High,0,0.5565709815243647,high risk,7,Native,2016.0,218.1193511,1,1292337,Austropotamobius fulcisianus,44.494,11.346,44.492083,11.345417
WA0042,High,0,0.560999374843202,high risk,7,Native,2016.0,218.1193511,1,1292337,Austropotamobius fulcisianus,44.494,11.346,44.492083,11.345417
WA0043,High,0,0.47134542843788513,medium risk,7,Native,2016.0,218.1193511,1,1292337,Austropotamobius fulcisianus,44.494,11.346,44.492083,11.345417
WA0044,High,0,0.5229662569254623,high risk,7,Native,2016.0,218.1193511,1,1292337,Austropotamobius fulcisianus,44.494,11.346,44.492083,11.345417
WA0045,High,0,0.560999374843202,high risk,7,Native,2016.0,218.1193511,1,1292337,Austropotamobius fulcisianus,44.494,11.346,44.492083,11.345417
WA0046,High,0,0.5108295739466363,medium risk,7,Native,2016.0,218.1193511,1,1292337,Austropotamobius fulcisianus,44.494,11.346,44.492083,11.345417
WA0047,High,0,0.5565709815243647,high risk,7,Native,2016.0,218.1193511,1,1292337,Austropotamobius fulcisianus,44.494,11.346,44.492083,11.345417
WA0048,High,0,0.5108295739466363,medium risk,7,Native,2016.0,218.1193511,1,1292337,Austropotamobius fulcisianus,44.494,11.346,44.492083,11.345417
WA0049,High,0,0.5229662569254623,high risk,7,Native,2016.0,218.1193511,1,1292337,Austropotamobius fulcisianus,44.494,11.346,44.492083,11.345417
WA0050,High,0,0.560999374843202,high risk,7,Native,2016.0,218.1193511,1,1292337,Austropotamobius fulcisianus,44.494,11.346,44.492083,11.345417
WA0051,High,0,0.560999374843202,high risk,7,Native,2016.0,218.1193511,1,1292337,Austropotamobius fulcisianus,44.494,11.346,44.492083,11.345417
WA0052,High,0,0.5229662569254623,high risk,7,Native,2016.0,218.1193511,1,1292337,Austropotamobius fulcisianus,44.494,11.346,44.492083,11.345417
WA0053,High,0,0.4500584047637487,medium risk,7,Introduced,2016.0,170.8400225,1,1164754,Austropotamobius fulcisianus,43.301,-1.965,43.30125,-1.962917
WA0054,High,0,0.4500584047637487,medium risk,7,Introduced,2016.0,170.8400225,1,1164754,Austropotamobius fulcisianus,43.301,-1.965,43.30125,-1.962917
WA0055,High,0,0.4647734109767032,medium risk,7,Introduced,2016.0,170.8400225,1,1164754,Austropotamobius fulcisianus,43.301,-1.965,43.30125,-1.962917
WA0056,High,0,0.4647734109767032,medium risk,7,Introduced,2016.0,170.8400225,1,1164754,Austropotamobius fulcisianus,43.301,-1.965,43.30125,-1.962917
WA0057,High,0,0.3760227286475025,medium risk,6,Introduced,2016.0,170.8400225,1,1164754,Austropotamobius fulcisianus,43.301,-1.965,43.30125,-1.962917
WA0058,High,0,0.45532639306876793,medium risk,7,Introduced,2016.0,170.8400225,1,1164754,Austropotamobius fulcisianus,43.301,-1.965,43.30125,-1.962917
WA0059,High,0,0.3760227286475025,medium risk,6,Introduced,2016.0,170.8400225,1,1164754,Austropotamobius fulcisianus,43.301,-1.965,43.30125,-1.962917
WA0060,High,0,0.4500584047637487,medium risk,7,Introduced,2016.0,170.8400225,1,1164754,Austropotamobius fulcisianus,43.301,-1.965,43.30125,-1.962917
WA0061,High,0,0.3889154746078279,medium risk,6,Introduced,2016.0,170.8400225,1,1164754,Austropotamobius fulcisianus,43.301,-1.965,43.30125,-1.962917
WA0062,High,0,0.3602519107050987,medium risk,6,Native,2016.0,182.8312198,7,1292332,Austropotamobius fulcisianus,43.769,11.257,43.767667,11.255667
WA0063,High,0,0.3460395764396314,medium risk,6,Native,2016.0,182.8312198,7,1292332,Austropotamobius fulcisianus,43.769,11.257,43.767667,11.255667
WA0064,High,0,0.3460395764396314,medium risk,6,Native,2016.0,182.8312198,7,1292332,Austropotamobius fulcisianus,43.769,11.257,43.767667,11.255667
WA0065,High,0,0.32789065825765845,medium risk,6,Native,2016.0,182.8312198,7,1292332,Austropotamobius fulcisianus,43.769,11.257,43.767667,11.255667
WA0066,High,0,0.31075457351408653,medium risk,6,Native,2016.0,182.8312198,7,1292332,Austropotamobius fulcisianus,43.769,11.257,43.767667,11.255667
WA0067,High,0,0.32789065825765845,medium risk,6,Native,2016.0,182.8312198,7,1292332,Austropotamobius fulcisianus,43.769,11.257,43.767667,11.255667
WA0068,High,0,0.31075457351408653,medium risk,6,Native,2016.0,182.8312198,7,1292332,Austropotamobius fulcisianus,43.769,11.257,43.767667,11.255667
WA0069,High,0,0.32789065825765845,medium risk,6,Native,2016.0,182.8312198,7,1292332,Austropotamobius fulcisianus,43.769,11.257,43.767667,11.255667
WA0070,High,0,0.31075457351408653,medium risk,6,Native,2016.0,182.8312198,7,1292332,Austropotamobius fulcisianus,43.769,11.257,43.767667,11.255667
WA0071,High,0,0.3602519107050987,medium risk,6,Native,2016.0,182.8312198,7,1292332,Austropotamobius fulcisianus,43.769,11.257,43.767667,11.255667
WA0072,High,0,0.3602519107050987,medium risk,6,Native,2016.0,182.8312198,7,1292332,Austropotamobius fulcisianus,43.769,11.257,43.767667,11.255667
WA0073,High,0,0.32789065825765845,medium risk,6,Native,2016.0,182.8312198,7,1292332,Austropotamobius fulcisianus,43.769,11.257,43.767667,11.255667
WA0074,High,0,0.3602519107050987,medium risk,6,Native,2016.0,182.8312198,7,1292332,Austropotamobius fulcisianus,43.769,11.257,43.767667,11.255667
WA0075,High,0,0.4512975236675697,medium risk,7,Introduced,2016.0,6.65791911,3,1173197,Austropotamobius fulcisianus,43.83,3.618,43.83,3.617917
WA0076,High,0,0.20465801479486,medium risk,5,Introduced,2016.0,11.47120456,2,1165482,Austropotamobius fulcisianus,42.426,2.785,42.425917,2.784917
WA0077,High,0,0.09551067283037205,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0078,High,0,0.17597842643976333,medium risk,5,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0079,High,0,0.17597842643976333,medium risk,5,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0080,High,0,0.09551067283037205,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0081,High,0,0.17597842643976333,medium risk,5,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0082,High,0,0.14507092002227198,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0083,High,0,0.09461662010194813,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0084,High,0,0.17597842643976333,medium risk,5,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0085,High,0,0.09551067283037205,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0086,High,0,0.14507092002227198,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0087,High,0,0.09551067283037205,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0088,High,0,0.14507092002227198,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0089,High,0,0.09461662010194813,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0090,High,0,0.09402923716094498,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0091,High,0,0.14507092002227198,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0092,High,0,0.14507092002227198,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0093,High,0,0.14507092002227198,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0094,High,0,0.17597842643976333,medium risk,5,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0095,High,0,0.17597842643976333,medium risk,5,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0096,High,0,0.17597842643976333,medium risk,5,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0097,High,0,0.14507092002227198,medium risk,4,Introduced,2016.0,138.9938765,4,1291835,Austropotamobius fulcisianus,47.475,10.816,47.47625,10.816
WA0098,High,0,0.7871551096367594,high risk,9,Introduced,2016.0,78.23315091,2,1291835,Austropotamobius fulcisianus,47.503,10.731,47.502417,10.731583
WA0099,High,0,0.28737180534724116,medium risk,6,Introduced,2011.0,344.40827,1,1172636,Austropotamobius fulcisianus,42.695,-1.676,42.697917,-1.674583
WA0100,High,0,0.21473423862614033,medium risk,5,Introduced,2011.0,161.1714424,1,1172636,Austropotamobius fulcisianus,43.001,-4.205,42.999583,-4.204583
WA0101,High,0,0.3202498829025438,medium risk,6,Introduced,2011.0,421.3830499,3,1172701,Austropotamobius fulcisianus,43.25,-5.983,43.24625,-5.98375
WA0102,High,0,0.1946668048821148,medium risk,5,Introduced,2011.0,64.82674399,6,1173189,Austropotamobius fulcisianus,42.341,-3.7,42.340417,-3.7
