feature,importance_all,importance_remove_high_risk,importance_weighted
l_CLI1,0.031028009539424684,0.03038274951689452,0.03196458145924589
l_CLI10,0.0031701695000359627,0.003037847786691354,0.003386371053563295
l_CLI11,0.003403881015797479,0.003364907603145802,0.0026825521394873496
l_CLI12,0.00039775990052531987,0.0002612063501850807,0.000329217122039654
l_CLI13,0.006372867603201103,0.006092734236611719,0.005272707288367299
l_CLI14,0.006804260378648893,0.007629858723183659,0.005326293884146272
l_CLI15,0.006511906963448228,0.005253069245407188,0.005848356580526907
l_CLI16,0.00040029915556890266,0.00027206534283914953,0.00036358912144592216
l_CLI17,0.039265339303872764,0.03545301061136608,0.0360382449368375
l_CLI18,0.02921226174850088,0.0262247319891213,0.02866213282278587
l_CLI19,0.0346320916697935,0.03283734786543011,0.03285093051558405
l_CLI2,0.02869839156333276,0.029135951889755367,0.02912131117043809
l_CLI20,0.0005537590853476449,0.00040220968272076127,0.0005190685335229748
l_CLI21,0.012676721428927595,0.01367883366202679,0.012885946794837153
l_CLI22,0.010232589093696454,0.012382499349570373,0.0113524679716765
l_CLI23,0.012868664590151851,0.014014158102677315,0.011102073143345909
l_CLI24,0.0005681759055018991,0.0003084942066947827,0.0003012891341911847
l_CLI25,0.005839200401540497,0.0034490621560484803,0.00408470965289232
l_CLI26,0.006426908365314396,0.004830705579223964,0.0053155880528280314
l_CLI27,0.007336316737758505,0.005049021678066481,0.0054319723530778805
l_CLI28,0.00037064071111846494,0.00025838155368898357,0.0003007069890415274
l_CLI29,0.012762295085268851,0.020433904276831717,0.01808106004473371
l_CLI3,0.02883547484416637,0.03567272279612606,0.030809216672369296
l_CLI30,0.015692864853265237,0.025629536061057914,0.024500473461877066
l_CLI31,0.013339357806736047,0.02857042991164505,0.023816764704805433
l_CLI32,0.0006767207038270995,0.0003891143672442333,0.00040083986443004404
l_CLI33,0.004675189923499419,0.004742229101654669,0.004851519383374687
l_CLI34,0.004277263898182604,0.004303107656651182,0.003994760268010763
l_CLI35,0.005104687328434367,0.005693245795554166,0.0041553457940462545
l_CLI36,0.0004057044503338732,0.00021198424424469673,0.0003500172518973939
l_CLI37,0.04340118328253934,0.041241208553947625,0.0418192676700452
l_CLI38,0.05137123086970325,0.047792332603350966,0.04736044587478777
l_CLI39,0.05168677009685525,0.04768523933632778,0.05268805954355019
l_CLI4,0.00039614543691966157,0.0004186830044262317,0.0005466255316426088
l_CLI40,0.0004926321228367478,0.00037455042562038,0.0003661109147524081
l_CLI41,0.014131156252423466,0.014290637227402444,0.013728624330754276
l_CLI42,0.01535671996092817,0.014198667787048699,0.015552817571366059
l_CLI43,0.014567590657138406,0.01443274085987809,0.012148073749715767
l_CLI44,0.0004154491874849003,0.0002857639423255458,0.00032137429197006713
l_CLI45,0.0016840262657976679,0.0011890919927345976,0.0012769570332419177
l_CLI46,0.0015030898212797462,0.0011024779068320564,0.0011692465638476048
l_CLI47,0.0015323743336534384,0.0011540721777474614,0.00132868350858874
l_CLI48,0.0005928280917944475,0.00027423108774577115,0.00043005240710883785
l_CLI49,0.0019044962724344256,0.0016924672350137184,0.0013626683023006824
l_CLI5,0.022330573904546548,0.020834854952904817,0.02218542277804962
l_CLI50,0.002078174950007945,0.001618836803898807,0.0018618120301810048
l_CLI51,0.0016680686193180022,0.0017898878870872617,0.0021471535370033118
l_CLI52,0.0005509489758525309,0.00024394818156231582,0.0003929417650142635
l_CLI53,0.0025538673768464204,0.0016784591860857625,0.0019428929833554863
l_CLI54,0.0023653002391831085,0.0021352092352724876,0.002798083953581205
l_CLI55,0.0018353067171915146,0.002099729756641168,0.0020679033164902297
l_CLI56,0.0005299579122896672,0.00025317320928527025,0.00035265811449416957
l_CLI57,0.002818273101965672,0.001927970308549172,0.0021636538901984707
l_CLI58,0.0029390882962697443,0.0025845136014424693,0.0022664303311577313
l_CLI59,0.0027033769688234984,0.0022038768237354995,0.0020416184203065485
l_CLI6,0.01538353547137719,0.013668991881933172,0.01677812103685164
l_CLI60,0.0005759114450060404,0.000306142398678574,0.00039040463267473233
l_CLI61,0.002290261992260834,0.0015900342076929975,0.0018853374891422913
l_CLI62,0.002486462021862601,0.0019077609247360819,0.0019634223967837645
l_CLI63,0.0018820424542084788,0.001424984686258376,0.001649082950866518
l_CLI64,0.0006088052870850858,0.0002154366714357779,0.00037073634806030614
l_CLI65,0.0018545781190454206,0.0013318574973034695,0.001869666333067356
l_CLI66,0.002035752378861535,0.0017967341031156607,0.0016842128133781468
l_CLI67,0.0016550842306758456,0.001417350024423755,0.001533116608991262
l_CLI68,0.0005490309386487187,0.00030056144087249045,0.00037713019568118495
l_CLI69,0.006433311415246486,0.007047964571936586,0.006959978997709905
l_CLI7,0.014600147776391757,0.01390771720516645,0.014280078143187444
l_CLI70,0.005431351418179158,0.00684007542563245,0.005794916543819956
l_CLI71,0.0069199415655715945,0.007937732361539248,0.008538557294619872
l_CLI72,0.0005558389624048678,0.0003066741505433874,0.000488346299491944
l_CLI73,0.0016733685639527185,0.0013538141256651019,0.0018266291286811232
l_CLI74,0.001818396201874036,0.0015690293766422033,0.0016536426569830449
l_CLI75,0.0018924470157692598,0.0016983221537027326,0.0018634484471153167
l_CLI76,0.0006190313316676774,0.0002480375437348645,0.00041205122977664647
l_CLI8,0.00010781336989890349,7.902787761993545e-05,7.286237578555756e-05
l_CLI9,0.00285893663614507,0.002666839727194242,0.0025959051664614604
l_LAC1,0.0005698149518704284,0.00021165083323091593,0.00033449011692286305
l_LAC10,0.00014383771076280805,5.1530131898365876e-05,9.197392097194792e-05
