species,species_short,strategy,n_presences_total,presence_low_rate,presence_low_risk_n,presence_medium_risk_n,presence_high_risk_n,train_presences,train_background,test_auc,test_ap,mean_prediction_background,p90_prediction_background,p95_prediction_background
Pacifastacus leniusculus,P. leniusculus,all,6551,0.17081361624179514,2018,3054,1479,4913,15000,0.9695065934065936,0.9078593319825775,0.12109970130617198,0.44112062988849704,0.6618371648561094
Pacifastacus leniusculus,P. leniusculus,remove_high_risk,6551,0.17081361624179514,2018,3054,1479,3799,15000,0.9440765567765567,0.8721158705005386,0.08120139787670799,0.2611997527366307,0.5287965743276039
Pacifastacus leniusculus,P. leniusculus,weighted,6551,0.17081361624179514,2018,3054,1479,4913,15000,0.9612968253968255,0.8920865240319564,0.09209890780194215,0.3024838907498712,0.536574348031549
Astacus astacus,A. astacus,all,5548,0.4563806777217015,1507,1355,2686,4161,15000,0.9803793078586879,0.9255869986566253,0.0909249024524456,0.3501092193859027,0.6724557759536886
Astacus astacus,A. astacus,remove_high_risk,5548,0.4563806777217015,1507,1355,2686,2104,15000,0.9268719538572459,0.8267621005658782,0.049338807801832286,0.10000924241680638,0.3089854679071009
Astacus astacus,A. astacus,weighted,5548,0.4563806777217015,1507,1355,2686,4161,15000,0.9735536409516944,0.9039734094577143,0.06501768763211455,0.2183057449179221,0.40150982878648755
Faxonius limosus,F. limosus,all,8176,0.2780088062622309,477,3982,3717,6132,15000,0.9570336594911939,0.8856232202022464,0.1370724318806059,0.5124826298062917,0.741264587996053
Faxonius limosus,F. limosus,remove_high_risk,8176,0.2780088062622309,477,3982,3717,3321,15000,0.9265074363992173,0.8378171726242716,0.1011153889448788,0.3729111322456025,0.6787656250826573
Faxonius limosus,F. limosus,weighted,8176,0.2780088062622309,477,3982,3717,6132,15000,0.9492830724070449,0.8735776673793756,0.12070243692897807,0.4488471084787465,0.7343782192692853
Pontastacus leptodactylus,P. leptodactylus,all,3033,0.2987141444114738,204,1603,1226,2275,14999,0.9667011188791266,0.8577268397487602,0.11889466183634306,0.380767337064947,0.5170630766365054
Pontastacus leptodactylus,P. leptodactylus,remove_high_risk,3033,0.2987141444114738,204,1603,1226,1364,14999,0.9098433611430747,0.7291167264449844,0.07388209470978814,0.21028286944642346,0.38534288022061625
Pontastacus leptodactylus,P. leptodactylus,weighted,3033,0.2987141444114738,204,1603,1226,2275,14999,0.9535201139191687,0.8133829163401449,0.08768346549982943,0.24877107621944172,0.39983349997436274
Procambarus clarkii,P. clarkii,all,39725,0.5355821271239773,868,14523,24334,29793,15000,0.9817899416028998,0.9907550458995261,0.11300979799323968,0.31679147169473165,0.4841589382173965
Procambarus clarkii,P. clarkii,remove_high_risk,39725,0.5355821271239773,868,14523,24334,11598,15000,0.9181582662102296,0.9558068576449478,0.11491365045169441,0.2849507954362193,0.39467527506594163
Procambarus clarkii,P. clarkii,weighted,39725,0.5355821271239773,868,14523,24334,29793,15000,0.9802644885219494,0.9899962991719813,0.12043865747916505,0.33310385287849775,0.48338885207879817
Austropotamobius pallipes,A. pallipes,all,4741,0.26808690149757436,54,2980,1707,3556,14999,0.9853090985178492,0.9280574367756099,0.08283810934083286,0.26537487054188574,0.615919774832436
Austropotamobius pallipes,A. pallipes,remove_high_risk,4741,0.26808690149757436,54,2980,1707,2294,14999,0.9481653036481311,0.8324134786423038,0.05359645358355056,0.1236646155200098,0.333817361474836
Austropotamobius pallipes,A. pallipes,weighted,4741,0.26808690149757436,54,2980,1707,3556,14999,0.9774404612748337,0.8942445886590866,0.06688509505580867,0.19727106991207136,0.42902245678069356
Austropotamobius torrentium,A. torrentium,all,3315,0.48627450980392156,22,1455,1838,2486,15000,0.9853849215922799,0.8957725412908857,0.06726779243160555,0.12853302221016846,0.5495117655747499
Austropotamobius torrentium,A. torrentium,remove_high_risk,3315,0.48627450980392156,22,1455,1838,1112,15000,0.958229312424608,0.8275968584402769,0.03494267769421724,0.06214415480440662,0.13445047753291398
Austropotamobius torrentium,A. torrentium,weighted,3315,0.48627450980392156,22,1455,1838,2486,15000,0.9837897466827503,0.8923902862355058,0.047979710295242936,0.09896587306964297,0.27101293599153164
