species,n,high_n,low_n,low_rate,low_risk_n,medium_risk_n,high_risk_n,high_risk_rate,mean_p_low_accuracy,median_p_low_accuracy,status_mode,median_year,median_distance_m,median_strahler,candidate_score
Procambarus clarkii,39725,18449,21276,0.5355821271239773,868,14523,24334,0.6125613593455003,0.5922262287018913,0.6638791208682517,Alien,2018.0,68.62341065,2.0,5
Faxonius limosus,8176,5903,2273,0.2780088062622309,477,3982,3717,0.4546232876712329,0.5009750719453315,0.46848048507481505,Alien,2014.0,61.99365071,2.0,5
Pacifastacus leniusculus,6551,5432,1119,0.17081361624179514,2018,3054,1479,0.22576705846435657,0.3056917010362182,0.2058342767977108,Alien,2014.0,55.57525367,3.0,5
Astacus astacus,5548,3016,2532,0.4563806777217015,1507,1355,2686,0.4841384282624369,0.4896353585924557,0.46566677645325644,Native,2014.0,67.76894111,2.0,5
Pontastacus leptodactylus,3033,2127,906,0.2987141444114738,204,1603,1226,0.4042202439828553,0.4697533652317875,0.440519893450817,Introduced,2012.0,78.14078873,2.0,5
Austropotamobius pallipes,4741,3470,1271,0.26808690149757436,54,2980,1707,0.36005062223159673,0.4743397556756926,0.3543227607805324,Native,2014.0,54.82295045,2.0,4
Austropotamobius torrentium,3315,1703,1612,0.48627450980392156,22,1455,1838,0.554449472096531,0.6081656525376528,0.6311602417092962,Native,2012.0,66.66579735,2.0,4
Procambarus acutus,2731,2728,3,0.0010984987184181618,1717,914,100,0.03661662394727206,0.12294265938311484,0.067607303218978,Native,1995.0,53.81534914,3.0,4
Austropotamobius fulcisianus,1970,1590,380,0.19289340101522842,0,1284,686,0.34822335025380713,0.444701577226624,0.4051078452287154,Introduced,2010.0,90.114760645,2.0,4
Faxonius immunis,1448,1396,52,0.03591160220994475,1157,236,55,0.03798342541436464,0.09124196304733066,0.0459245344834271,Native,1997.0,57.71862355499999,3.0,4
Faxonius virilis,2613,2609,4,0.0015308075009567547,1902,631,80,0.030616150019135095,0.10105138396101619,0.0460153813746963,Native,1998.0,47.88116414,4.0,3
Faxonius rusticus,2117,2109,8,0.003778932451582428,1667,432,18,0.008502598016060462,0.07607413264791822,0.0459318998603607,Native,1996.0,44.49485357,4.0,3
Cambarus bartonii,1475,1474,1,0.0006779661016949153,1187,263,25,0.01694915254237288,0.06990439878765825,0.0362494163203577,Native,1999.0,40.99349769,3.0,3
Cambarus robustus,1346,1346,0,0.0,1227,117,2,0.0014858841010401188,0.044433211782590076,0.029156271807174,Native,1996.0,42.39585665,4.0,3
Faxonius obscurus,1285,1285,0,0.0,1061,213,11,0.008560311284046693,0.06438789299907736,0.0391699298884392,Native,2010.0,40.69740703,4.0,3
