dataset,bin,n,p_mean,frac_high
GLOBAL (all species),0,214,0.05614156809504673,0.3317757009345794
GLOBAL (all species),1,458,0.15999162875010958,0.4017467248908297
GLOBAL (all species),2,1984,0.2585411388780188,0.4783266129032258
GLOBAL (all species),3,5967,0.3574619999168883,0.514831573655103
GLOBAL (all species),4,9676,0.4524250821037103,0.506821000413394
GLOBAL (all species),5,12942,0.5518596393821978,0.5280482151135837
GLOBAL (all species),6,15036,0.6518355117638356,0.6348097898377228
GLOBAL (all species),7,19327,0.7524490614861481,0.7587313085321054
GLOBAL (all species),8,28109,0.8531508950480016,0.8542815468355331
GLOBAL (all species),9,20194,0.9333027740200756,0.9149747449737545
Astacus astacus,0,1252,0.050293451458409445,0.06629392971246006
Astacus astacus,1,629,0.1392773884364036,0.12241653418124006
Astacus astacus,2,300,0.24747651105637117,0.3566666666666667
Astacus astacus,3,226,0.3469358046741749,0.41150442477876104
Astacus astacus,4,190,0.4476351574277767,0.5842105263157895
Astacus astacus,5,246,0.549193030637254,0.6544715447154471
Astacus astacus,6,245,0.650784430172352,0.6326530612244898
Astacus astacus,7,207,0.7501907569028151,0.6086956521739131
Astacus astacus,8,248,0.8494329907634799,0.7379032258064516
Astacus astacus,9,1885,0.9865140708418799,0.9692307692307692
Austropotamobius pallipes,0,879,0.02770349733158659,0.08418657565415244
Austropotamobius pallipes,1,163,0.1441076054542112,0.18404907975460122
Austropotamobius pallipes,2,148,0.25866461815454167,0.35135135135135137
Austropotamobius pallipes,3,105,0.35155645461271584,0.5428571428571428
Austropotamobius pallipes,4,55,0.4405059924670076,0.509090909090909
Austropotamobius pallipes,5,62,0.5561090327439366,0.46774193548387094
Austropotamobius pallipes,6,73,0.6447463601686713,0.6438356164383562
Austropotamobius pallipes,7,81,0.7574697725812565,0.8641975308641975
Austropotamobius pallipes,8,207,0.8582709491076073,0.855072463768116
Austropotamobius pallipes,9,2963,0.9931802199930972,0.9807627404657442
Pacifastacus leniusculus,0,284,0.02263416506842786,0.13028169014084506
Pacifastacus leniusculus,1,105,0.15410689471775732,0.37142857142857144
Pacifastacus leniusculus,2,111,0.2519934897080344,0.34234234234234234
Pacifastacus leniusculus,3,109,0.3530956419487968,0.41284403669724773
Pacifastacus leniusculus,4,177,0.4542981091641673,0.3785310734463277
Pacifastacus leniusculus,5,216,0.5511817140255525,0.5740740740740741
Pacifastacus leniusculus,6,287,0.6480077688025324,0.6445993031358885
Pacifastacus leniusculus,7,405,0.7525166232516807,0.7555555555555555
Pacifastacus leniusculus,8,695,0.8584411801341704,0.8503597122302158
Pacifastacus leniusculus,9,4051,0.971995235965334,0.9642063687978277
Procambarus clarkii,0,1183,0.05561017705571102,0.44801352493660185
Procambarus clarkii,1,2074,0.16297406199113904,0.27242044358727097
Procambarus clarkii,2,7133,0.2566769281593739,0.23384270293004347
Procambarus clarkii,3,9060,0.3468922828121568,0.27086092715231785
Procambarus clarkii,4,6161,0.4472714952585312,0.4694043174809284
Procambarus clarkii,5,3947,0.5478101446199607,0.6275652394223461
Procambarus clarkii,6,3219,0.648537121193994,0.762659210935073
Procambarus clarkii,7,2691,0.7502553900354063,0.8216276477146043
Procambarus clarkii,8,1875,0.8442780513785352,0.8272
Procambarus clarkii,9,1843,0.9471553901050282,0.7639717851329354
Faxonius limosus,0,212,0.038802504155573785,0.36792452830188677
Faxonius limosus,1,257,0.15340803022210947,0.4163424124513619
Faxonius limosus,2,316,0.25082767386971355,0.4208860759493671
Faxonius limosus,3,288,0.35116963378441884,0.3888888888888889
Faxonius limosus,4,346,0.45328518253537997,0.45664739884393063
Faxonius limosus,5,423,0.5512293452428529,0.46808510638297873
Faxonius limosus,6,643,0.654182412763309,0.5925349922239502
Faxonius limosus,7,1012,0.7546890329135733,0.7104743083003953
Faxonius limosus,8,1284,0.8520091040454963,0.8045171339563862
Faxonius limosus,9,3283,0.9687626601705555,0.8848614072494669
Pontastacus leptodactylus,0,109,0.03617637208420511,0.6513761467889908
Pontastacus leptodactylus,1,89,0.15589202863035498,0.6179775280898876
Pontastacus leptodactylus,2,133,0.2587206889985144,0.48872180451127817
Pontastacus leptodactylus,3,222,0.35685656092475343,0.6396396396396397
Pontastacus leptodactylus,4,153,0.4549154211789929,0.5359477124183006
Pontastacus leptodactylus,5,242,0.5599005747738786,0.5247933884297521
Pontastacus leptodactylus,6,379,0.6525457788441588,0.683377308707124
Pontastacus leptodactylus,7,521,0.7502955017226491,0.7332053742802304
Pontastacus leptodactylus,8,516,0.8495947830509072,0.8217054263565892
Pontastacus leptodactylus,9,472,0.9540214486044414,0.7860169491525424
Austropotamobius torrentium,0,260,0.03863537847650205,0.8961538461538462
Austropotamobius torrentium,1,60,0.1425196804191617,0.8833333333333333
Austropotamobius torrentium,2,32,0.2515828053686445,0.1875
Austropotamobius torrentium,3,40,0.34282610083151266,0.225
Austropotamobius torrentium,4,45,0.4602134381206766,0.24444444444444444
Austropotamobius torrentium,5,90,0.5495196583623261,0.2111111111111111
Austropotamobius torrentium,6,160,0.6555382842423413,0.20625
Austropotamobius torrentium,7,301,0.760063568474967,0.26578073089701
Austropotamobius torrentium,8,350,0.8511303404803069,0.20285714285714285
Austropotamobius torrentium,9,1958,0.9844993418993908,0.6046986721144024
