spec,auc,brier,ess_p99
logit_pc10_C0.1,0.7180332567201706,0.1783208144750123,0.9042217466879837
logit_pc10_C1,0.7180381025637399,0.17832067051740608,0.9042026290148734
logit_pc10_C10,0.7180346984971904,0.17832282086942933,0.9041783304702805
logit_pc15_C0.1,0.7239856281077672,0.17714279166654284,0.8908370254228264
logit_pc15_C1,0.7240116359048463,0.1771383494731744,0.8907916235243148
logit_pc15_C10,0.7240181041351375,0.1771376803020077,0.8907951442966753
logit_pc25_C0.1,0.7262515151826551,0.17689685288638018,0.8751130558410012
logit_pc25_C1,0.7262624779202606,0.17689590370422692,0.8750860867868081
logit_pc25_C10,0.726266326922299,0.17689404440601164,0.875050300716704
rf_basinblocked_40k,0.834668725,0.1354498070638484,0.9341880436624018
