axis,regime,D_km,seed,n_truth,n_high,n_displaced,mu_u,rho_u,ceil_seed,ceil_mcar,auc,brier,ess,sp_ALL,D_ALL,sp_FILTER,D_FILTER,sp_IPW_est,D_IPW_est,sp_IPW_oracle,D_IPW_oracle,sp_SMITH_env,D_SMITH_env,sp_ALL_calib,D_ALL_calib
long_range,iso,2.0,0,2923,1568,7,-0.00529441668462837,0.9617494555732444,0.8759938491756439,0.8409728101071131,0.7840756551698169,0.1824850764112177,0.6494427785607175,0.8794353484626786,0.9444149803714227,0.7167079977230268,0.7613106978661304,0.693893506490391,0.7694428578526844,0.7014604552541236,0.7727692815069612,0.8825556190140053,0.9463628220934855,0.8827848008675381,0.9457827954097247
long_range,iso,2.0,1,2923,1586,10,-0.04631737867864387,0.9188168434677301,0.8759938491756439,0.8409728101071131,0.7999707142055439,0.17657390077550306,0.6570547303437009,0.8688127034069064,0.9377167010198099,0.7198247204634257,0.7700184899469104,0.6967153917624674,0.7845695918086458,0.6976771531132601,0.7883229826667546,0.8708302913782352,0.9380172789730958,0.8692119158068047,0.9375194001851679
long_range,iso,2.0,2,2923,1579,10,-0.06854997872247313,0.8909079252100867,0.8759938491756439,0.8409728101071131,0.770507017325613,0.19108295858593885,0.5061543822423781,0.8698959168073016,0.937900907942825,0.7099736482752793,0.7683859631471417,0.6877644601183865,0.7674358424627165,0.7006154401482754,0.7777816796746395,0.8718487049599007,0.937251560922341,0.8700886548679619,0.9378846442173002
long_range,toward_HQ,2.0,0,2923,1568,7,0.0026456814383958543,0.9623464352664647,0.8759938491756439,0.8409728101071131,0.7836661740341893,0.18266649611392144,0.6544947329985493,0.8794736996972783,0.945483012681456,0.7167079977230268,0.7613106978661304,0.6973013018574635,0.7695502389556699,0.7014604552541236,0.7727692815069612,0.8825556190140053,0.9463628220934855,0.8827848008675381,0.9457827954097247
long_range,toward_HQ,2.0,1,2923,1586,10,0.07781282197796804,0.9541328992357078,0.8759938491756439,0.8409728101071131,0.7989247256048388,0.17760066895672963,0.6388462889162115,0.8684118469471359,0.937631597300339,0.7198247204634257,0.7700184899469105,0.6845486898846485,0.7811660668443212,0.6976771531132601,0.7883229826667546,0.8708302913782352,0.9380172789730957,0.8692119158068047,0.9375194001851679
long_range,toward_HQ,2.0,2,2923,1579,10,-0.051875772664122265,0.8897581450289903,0.8759938491756439,0.8409728101071131,0.7700419286619017,0.19144255278646308,0.5019747558810137,0.8700507369164502,0.9363257336289754,0.7099736482752793,0.7683859631471417,0.6767539182683321,0.7662945182717731,0.7006154401482754,0.7777816796746395,0.8718487049599007,0.937251560922341,0.8700886548679619,0.9378846442173002
long_range,away_HQ,2.0,0,2923,1568,7,-0.19321007226286796,0.6206089199355584,0.8759938491756439,0.8409728101071131,0.7849390955644252,0.18241199817476278,0.6920044106550033,0.8818447714627033,0.9453219341753497,0.7167079977230268,0.7613106978661304,0.6831919048267688,0.7698644805977382,0.7014604552541236,0.7727692815069611,0.8825556190140053,0.9463628220934855,0.8827848008675381,0.9457827954097247
long_range,away_HQ,2.0,1,2923,1586,10,-0.04817006824068282,0.9208105724492249,0.8759938491756439,0.8409728101071131,0.7997686375078873,0.1766499703658257,0.6578351617183956,0.8701821331097525,0.937630117929359,0.7198247204634257,0.7700184899469104,0.6925555911427468,0.7847993590777809,0.6976771531132601,0.7883229826667546,0.8708302913782352,0.9380172789730958,0.8692119158068047,0.9375194001851679
long_range,away_HQ,2.0,2,2923,1579,10,-0.20379631675131876,0.6335497419502871,0.8759938491756439,0.8409728101071131,0.768975805965198,0.19194029841380864,0.4959182046054016,0.8683536827469862,0.9364301101649999,0.7099736482752793,0.7683859631471417,0.6907161244983114,0.7657558308701193,0.7006154401482754,0.7777816796746395,0.8718487049599007,0.937251560922341,0.8700886548679619,0.9378846442173002
short_range,iso,2.0,0,2923,1591,1,0.3750433364997027,,0.8759938491756439,0.8409728101071131,0.8140672098874487,0.17265935802771773,0.5908182305373797,0.933763356361251,0.9657493938589835,0.7839643878328946,0.8510062651590213,0.7773050986563327,0.8393476431430762,0.779994244024835,0.859903146331372,0.933763356361251,0.9657493938589835,0.931966336771199,0.9652672384444005
short_range,iso,2.0,1,2923,1569,1,0.33323963187603634,,0.8759938491756439,0.8409728101071131,0.8026768171732035,0.17599502801568287,0.5218704320265043,0.8701065030914737,0.9409407025727698,0.7948213695960266,0.8435968467983284,0.7899239921564974,0.8391174869134885,0.7884663137915331,0.8665370692282709,0.8712035653271998,0.9408893627912901,0.869245358123694,0.9410604639545099
short_range,iso,2.0,2,2923,1557,2,0.7332748918764177,,0.8759938491756439,0.8409728101071131,0.8125285044351727,0.1730800093368005,0.427249112155418,0.8713647313521063,0.9403425659396927,0.783012900639426,0.8427356712771904,0.7722431763821469,0.8247323305993981,0.777232678320007,0.854398297500773,0.8734469150567927,0.9405783569390826,0.8713639459336333,0.9401140789158507
