dataset,threshold_m,n,retain,auc,brier,ess_p99,smd_before,smd_after
POOLED,50.0,42263,0.5892624754513404,0.6602998974787766,0.22406312685688354,0.8515214032408089,0.07669859366065068,0.009250596822840079
Calopteryx splendens,50.0,2280,0.5842105263157895,0.6698545855982565,0.2252816021217706,0.8319598032352786,0.10563174256079752,0.02342777575917554
Coenagrion puella,50.0,4126,0.6415414444983034,0.6519892012925957,0.21647957867313447,0.8802561506426239,0.06455666940846568,0.011193802242153583
Ischnura elegans,50.0,3252,0.593480934809348,0.619848439716868,0.24209587769715651,0.5654360829228031,0.07861066303453558,0.1708814004877613
Libellula depressa,50.0,2148,0.5879888268156425,0.6348054806285813,0.2331511809455684,0.8261932342592719,0.07994020187171799,0.017244567217518117
Libellula quadrimaculata,50.0,2496,0.6338141025641025,0.6498120955940324,0.22501057466075394,0.7974231318483064,0.08854336996584396,0.03837130580254269
Pyrrhosoma nymphula,50.0,5128,0.6733619344773791,0.6085712186245142,0.2126333224847464,0.9399099717750138,0.06890740293775748,0.01676967561430265
POOLED,100.0,42263,0.6440148593332229,0.6830508645518608,0.20841389853512518,0.8703353508619976,0.08030185503288827,0.007926582416700377
Calopteryx splendens,100.0,2280,0.6364035087719299,0.679804868153821,0.21461406584208242,0.8211835818183023,0.10639597427259448,0.028246836573692896
Coenagrion puella,100.0,4126,0.694134755210858,0.6734877300817184,0.19641302562919805,0.8870470994251606,0.06864520335221067,0.009843324238804857
Ischnura elegans,100.0,3252,0.6546740467404674,0.6448328158780894,0.22070183403396884,0.8141083750966879,0.08848434539826391,0.05916809588792959
Libellula depressa,100.0,2148,0.6447858472998138,0.6571542126604557,0.2176186080408908,0.8213456936736099,0.08104213829893198,0.02709749326477958
Libellula quadrimaculata,100.0,2496,0.6875,0.6722745203514434,0.20548090293770555,0.8298865664124997,0.07583856992925693,0.032774156566548224
Pyrrhosoma nymphula,100.0,5128,0.7240639625585024,0.6315969390328509,0.19116872600057905,0.9402991886838818,0.06940643610264464,0.014819864379207464
POOLED,250.0,42263,0.8871353193100348,0.7085707319454349,0.0865067010788634,0.9773156311868891,0.028920685955914342,0.009013614771989418
Calopteryx splendens,250.0,2280,0.8587719298245614,0.7250743882399965,0.11575383129556394,0.908885061940919,0.051971739616034685,0.02625431396266695
Coenagrion puella,250.0,4126,0.8994183228308289,0.6901030151324782,0.07760534007421746,0.9675263927380163,0.03004200353588992,0.011161541415626326
Ischnura elegans,250.0,3252,0.8896063960639606,0.7602877756028142,0.08483218260428729,0.9648793075731239,0.03671278410451419,0.009844196587398966
Libellula depressa,250.0,2148,0.9050279329608939,0.6705083010570483,0.08027029742307569,0.9765544387390768,0.022733677316832467,0.008443700740635867
Libellula quadrimaculata,250.0,2496,0.9086538461538461,0.7171574770258979,0.07041290030228044,0.9732340081589446,0.021966028545468513,0.005548386953116177
Pyrrhosoma nymphula,250.0,5128,0.9009360374414976,0.6739073098817193,0.07897932308032453,0.976908998194311,0.031140579378907213,0.011334893577747068
POOLED,500.0,42263,0.9007406005252822,0.7255667638475932,0.07631916399739928,0.9814066419103532,0.02569919414765113,0.007458693371100214
Calopteryx splendens,500.0,2280,0.8732456140350877,0.7296076287932374,0.10344919914586818,0.9270301230209437,0.048225316942632934,0.019199923384299027
Coenagrion puella,500.0,4126,0.913717886572952,0.7102557893481953,0.06714213955070321,0.9770103833141093,0.025916892394533517,0.009492338402759691
Ischnura elegans,500.0,3252,0.9019065190651907,0.7589611030891584,0.07823517375051343,0.9743840784230298,0.03202094198245184,0.004798488190976624
Libellula depressa,500.0,2148,0.9171322160148976,0.7116580163120971,0.06724369449595169,0.980728621312436,0.02251539905384946,0.006385745780036863
Libellula quadrimaculata,500.0,2496,0.9222756410256411,0.7103325660340178,0.06160610115124266,0.977721574118883,0.017805813273706707,0.003968448387830566
Pyrrhosoma nymphula,500.0,5128,0.9151716068642746,0.6995255834686535,0.06690835052982111,0.9837775544604586,0.02778755523516425,0.010199485927269237
POOLED,1000.0,42263,0.9261055769822303,0.8313747410504195,0.05357416886191259,0.9804285850381457,0.029613646341369117,0.00688588893617536
Calopteryx splendens,1000.0,2280,0.9008771929824562,0.8146439927273355,0.07863645080642609,0.9347949123354582,0.05375919242661347,0.01210230135397936
Coenagrion puella,1000.0,4126,0.9374697043141057,0.859927510962539,0.04258874336289496,0.975875490585596,0.029996123646126926,0.006602362916555477
Ischnura elegans,1000.0,3252,0.9271217712177122,0.8485022146650714,0.05459628050371769,0.9776890120312817,0.03436327874700553,0.003110130878724545
Libellula depressa,1000.0,2148,0.9422718808193669,0.8413075353818693,0.04292488092259765,0.9764683943703993,0.029614242562899445,0.0043834460969438705
Libellula quadrimaculata,1000.0,2496,0.9451121794871795,0.8484635639869672,0.040731841754644615,0.9562524910731462,0.021666822042561117,0.006638611354676059
Pyrrhosoma nymphula,1000.0,5128,0.9360374414976599,0.8109740218495933,0.045359023971373875,0.9855353185473721,0.030943379566841577,0.008559174872179316
