variant,regime,beta,rho,D,fixed_magnitude,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_prop_coef_E1_true,diag_eff_coef_obs,diag_eff_coef_true,cfg_env_corr,cfg_retain_rate,cfg_n_occ,diag_true_sep_E1,diag_obs_sep_E1,diag_pooled_var_E1_true,diag_pooled_var_E1_obs,diag_rho_D,diag_grain,diag_corr_len,pred_mu_delta,pred_pooled_var_obs,pred_reliability,rho_sp_IPW_k0.25,rho_sp_IPW_k0.5,rho_sp_IPW_k1,rho_sp_IPW_k2,rho_sp_IPW_k4,env_width_D,env_best_rec,env_best_kappa,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp
base,away_HQ,3.0,1.0,10.0,1.0,0.5993888888888889,0.7651715536759736,0.9445750067843047,0.8107180084554185,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650230386,0.9866307190957336,0.9703228683839002,0.8434079663261697,0.9761806655727586,0.9367868961652365,0.8538982728041579,0.9790759058896259,0.9464408596212199,0.8126165789838348,0.963576550394538,0.884713295397917,0.9208517714655152,0.9936373147076893,0.9928300423199207,0.8687355024785809,0.9835009319531368,0.9715181712284604,0.9343053958633701,0.8874668119589009,0.07660685051940193,234.86291377376804,5.513448275922708,0.9770947311904332,0.05426640771949365,6.992618069640321,6.781032291175108,5.567917734781897,6.689947917762582,5.547120347890096,0.0,0.6,3000.0,0.7231870464270881,1.2993713597864163,0.163461597917337,0.23379109356158487,0.7960632221429353,1.0,12.0,0.07418568834301041,0.28827976899097907,0.5670155356814427,0.8979956484486274,0.9098117835856189,0.9367679423013485,0.9816603481589857,0.7065951078380843,0.41990052734189076,0.9816603481589857,2.0,0.06291621756123071,251.5035121908841,6.016802093608695,-0.5761843133593282,9.732600082327913
base,iso,3.0,0.0,10.0,1.0,0.5993888888888889,0.886227346996305,0.9875485391437419,0.997149072249473,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650230386,0.9866307190957336,0.9703228683839002,0.8269840395681789,0.9704636259204092,0.91759201579859,0.8368324882662499,0.9732333336064869,0.9323853140431085,0.9305018553041803,0.9953457018650322,0.9988039387470115,0.8148851765386759,0.9666822414557991,0.9542847143827492,0.8540058809611967,0.9804009684553611,0.9542169240322086,0.9164805014408758,0.8896795636424528,0.28332317677981844,69.95960112558215,5.083220933777745,0.8211618006350627,0.15364579564673125,3.082512702612076,3.265019966200036,5.567917734781897,3.3778922386362247,5.547120347890096,0.0,0.6,3000.0,0.7231870464270881,0.6649041513978239,0.163461597917337,0.2732363396002709,0.7960632221429353,1.0,12.0,0.07418568834301041,0.28827976899097907,0.5670155356814427,0.87703067803049,0.8894481065331621,0.9175930609196653,0.9432662359555731,0.6302982570249817,0.43543162275690905,0.9432662359555731,2.0,0.3222574260082715,68.1846723194911,5.0849768440713286,0.05828289502926418,9.784907327161998
base,toward_HQ,3.0,1.0,10.0,1.0,0.5993888888888889,0.7540913030880562,0.9446918684237581,0.8289234628660941,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650230386,0.9866307190957336,0.9703228683839002,0.7423912467124921,0.9401887088026356,0.839904285864684,0.7601344705687145,0.9456911272521625,0.8703108103588795,0.7791088537498139,0.9536731515231606,0.8719283725003818,0.7346020378507481,0.9321338507515805,0.9116972150696188,0.7372724948997432,0.9387018417108401,0.7804911668633564,0.8203155523995974,0.9414717615268625,0.9220097937457902,7.139544176454552,3.32627259557692,0.6023719630978009,0.2265953800933698,0.49581005608886414,0.7231012207138771,5.567917734781897,0.07802171541508741,5.547120347890096,0.0,0.6,3000.0,0.7231870464270881,0.013459127902164683,0.163461597917337,0.20545748673882355,0.7960632221429353,1.0,12.0,0.07418568834301041,0.28827976899097907,0.5670155356814427,0.8592850761345444,0.854281717601753,0.8399046559068895,0.7806067659910639,0.3815405280785225,0.610948083790412,0.8592850761345444,0.25,0.9795616097636571,2.685990954619308,2.647231110577222,0.7097279185249233,9.980091485421385
env_corr_0.6,away_HQ,3.0,1.0,10.0,1.0,0.6,0.7427575253948864,0.9321825171170395,0.7408019307463484,0.7361538842113063,0.9348017653263136,0.863238098254138,0.8833859671315553,0.9852928168419258,0.9702707697136957,0.831642735555751,0.9724602530999881,0.9301052765223202,0.8428745373567451,0.9758835615843497,0.9407877974923949,0.7821946164745053,0.9514264406841478,0.8323671531296134,0.9257248590841373,0.9944210539498256,0.992511465768474,0.8542043303543907,0.9773552932560275,0.9522934212702937,0.9283479931121142,0.8962806058398791,0.056658498616581315,227.17121643733148,5.091976421822866,0.9773882446551325,0.05251335802430818,7.065237184242732,6.910763691101686,5.950718793286366,6.872875519379871,5.920878865944988,0.6,0.6,3000.0,0.6792078848347932,1.2587219742210223,0.14322690810456615,0.21617274659614283,0.7960632221429353,1.0,12.0,0.07497393011579763,0.27049233080408935,0.5294527132232502,0.8928093042383146,0.9040926778632863,0.9301171504490972,0.9818429784688462,0.7488700869528695,0.42284912700639704,0.9818429784688462,2.0,0.04815455640072894,246.56216187466467,5.561274981603909,-0.5795140893862291,9.738869120397597
env_corr_0.6,iso,3.0,0.0,10.0,1.0,0.6,0.8782526618900678,0.9845909054830694,0.9967465132835335,0.7361538842113063,0.9348017653263136,0.863238098254138,0.8833859671315553,0.9852928168419258,0.9702707697136957,0.8148632865326743,0.9667512324991004,0.9095602340413774,0.8246373838596991,0.9696262216906572,0.9265914762531962,0.9147933305852408,0.9925290344091803,0.9970011816237706,0.8072461442588016,0.9636510545351998,0.9480344021345187,0.8576616758504562,0.9802469913995928,0.959769663127667,0.9050050435227535,0.9037283720918762,0.4179743426739397,46.56918511231754,4.536059437472102,0.8121827661872808,0.15645917368384685,3.225293413553826,3.386470809799569,5.950718793286366,3.560678869990086,5.920878865944988,0.6,0.6,3000.0,0.6792078848347932,0.6236297500399636,0.14322690810456615,0.26442032857578407,0.7960632221429353,1.0,12.0,0.07497393011579763,0.27049233080408935,0.5294527132232502,0.8724380983271846,0.8836142587290124,0.9095647188159739,0.9534783560773757,0.7388635775117223,0.5105928071771245,0.9559547327611709,2.3333333333333335,0.38877699538083316,51.187982327536474,4.656961943748031,0.055578134794829696,9.784815701474814
env_corr_0.6,toward_HQ,3.0,1.0,10.0,1.0,0.6,0.7428984469938574,0.9403213648984377,0.810538047322379,0.7361538842113063,0.9348017653263136,0.863238098254138,0.8833859671315553,0.9852928168419258,0.9702707697136957,0.7325598435921675,0.9362620274119534,0.8214649736700954,0.7479684279512501,0.9419075267353932,0.8519674870276671,0.765305276391074,0.9489048153068751,0.8563833502872833,0.7242550826592392,0.9257411459394239,0.9035785230513579,0.7407413838366298,0.9382031882232501,0.7726459252537331,0.8071376859668645,0.9124368009504135,0.6590752921680026,42.89106291056175,4.405205724461602,0.6630083729991267,0.21631935115938764,0.9923465580160142,1.1695776648163332,5.950718793286366,-0.19583445141440983,5.920878865944988,0.6,0.6,3000.0,0.6792078848347932,-0.029886973099237768,0.14322690810456615,0.19136180917523551,0.7960632221429353,1.0,12.0,0.07497393011579763,0.27049233080408935,0.5294527132232502,0.8548286313467988,0.847024475637664,0.8214680524271477,0.6827431305587425,0.1601688717460825,0.34027764277921074,0.8548286313467988,0.25,0.9110215144846211,7.483661463264094,3.461455113116449,0.7090948579340312,9.98558888642438
n_occ_600,away_HQ,3.0,1.0,10.0,1.0,0.6052777777777778,0.7635662572206535,0.9436824649003444,0.8092354255910174,0.7397822345588397,0.9355582972514798,0.8761989031426127,0.8775360810680958,0.9834770711004688,0.9718239685823139,0.8397723273834039,0.9743426627983393,0.940418856055422,0.8503652956428002,0.9773695774515678,0.9501976504455244,0.8109832369832488,0.9628302366448119,0.8828041309091917,0.9055084590718683,0.9908281631596861,0.9914960046224772,0.8650475646995387,0.9825240492731431,0.971416364483968,0.9260878917831404,0.8885875607833101,0.28740219077029855,40.659752475405234,5.6252902069455075,0.9784182560539478,0.05196621178564929,7.27869073455496,7.130755284314838,5.962404650308464,6.716949807023666,5.933402367661323,0.0,0.6,600.0,0.729534573996235,1.3226117563027615,0.15830088122046232,0.2333738234723156,0.7960632221429353,1.0,12.0,0.07551359730912914,0.2817574622930709,0.5616624640738003,0.9078131186072835,0.9174682852882855,0.9404316253034503,0.9554842724647759,0.6376510877354066,0.3534328770011646,0.9693714150602762,1.8333333333333333,0.2537701404588409,49.47048827951104,6.253773557493329,-0.5930771823065266,9.787033614846393
n_occ_600,iso,3.0,0.0,10.0,1.0,0.6052777777777778,0.8812992332268107,0.9863222459914772,0.9951312337560272,0.7397822345588397,0.9355582972514798,0.8761989031426127,0.8775360810680958,0.9834770711004688,0.9718239685823139,0.8254464716867331,0.9693138509891832,0.9254428537679514,0.8368398215391138,0.9725351783400672,0.9389334579967676,0.9250538001316414,0.9945314925889623,0.9971015220633626,0.8011736347347647,0.9612745217772306,0.9572124461516522,0.8610006370659531,0.9820196180202904,0.9585093478200339,0.9086878507262397,0.8943900276903753,0.5289769083226564,15.363482726708341,4.821553656157306,0.8351259771881693,0.14517615748643767,3.2430207685001275,3.398622775193836,5.962404650308464,3.6504135929977686,5.933402367661323,0.0,0.6,600.0,0.729534573996235,0.6937539792385116,0.15830088122046232,0.2738160066053051,0.7960632221429353,1.0,12.0,0.07551359730912914,0.2817574622930709,0.5616624640738003,0.8883169182621785,0.8994285015157085,0.9254436161926601,0.9456835680563151,0.6545896629270015,0.37452016113204883,0.9543816831240757,1.8333333333333333,0.5303551135739141,16.16386450350446,5.3345301564317635,0.03578059475772341,9.834329325677388
n_occ_600,toward_HQ,3.0,1.0,10.0,1.0,0.6052777777777778,0.7600185293356465,0.9474969331769644,0.8378856616550608,0.7397822345588397,0.9355582972514798,0.8761989031426127,0.8775360810680958,0.9834770711004688,0.9718239685823139,0.7493148646573823,0.9427588707930177,0.8537101361916649,0.7625978500630516,0.9463060138392807,0.8798212316429271,0.782802895980171,0.9551313485445356,0.8788697141336838,0.7126093968289497,0.9203469238757617,0.9182764932165073,0.753668739817702,0.9451044383123778,0.8050403113090415,0.8155310762100805,0.9335757544947728,0.9126498114776284,4.805571343700162,3.5745126836199166,0.626087900668136,0.21992925217551915,0.7312047682483357,0.9270515421763896,5.962404650308464,0.06263327034260359,5.933402367661323,0.0,0.6,600.0,0.729534573996235,0.010029307511434956,0.15830088122046232,0.21075413582397817,0.7960632221429353,1.0,12.0,0.07551359730912914,0.2817574622930709,0.5616624640738003,0.8714548559115675,0.8671437928342152,0.8537093917993879,0.7844512632607193,0.4276144252949315,0.5664492144329851,0.8714548559115675,0.25,0.9617650609233882,3.1616951860308933,2.766997812795984,0.7195052664848,9.978965683300194
niche_bimodal,away_HQ,3.0,1.0,10.0,1.0,0.5981111111111111,0.586266939043831,0.8466155059466938,0.5104856516516466,0.6408762485311789,0.8131698862109612,0.5459779332365414,0.6370479654878646,0.8939563539441876,0.6452629056698519,0.6361669527651289,0.8900126245331949,0.6402915369901337,0.637877690590285,0.8934076293697162,0.6476218880863857,0.6071146890329481,0.865023770692634,0.5453639248654435,0.6352882703895999,0.8929484555234408,0.643005617805418,0.6235638405715707,0.884984429457329,0.6116480989830608,0.9499169240070113,0.7231911513391965,0.2536926428478949,34.905030328373385,12.377060541033003,0.988347580260278,0.0402117633753114,4.1953245888769315,4.290702917813549,3.4940973872185794,3.925273502405115,3.4873196565860805,0.0,0.6,3000.0,1.4783823301037036,2.033210430964126,0.23326325981524812,0.2812727675664909,0.7960632221429353,1.0,12.0,0.1400988873476944,0.33942643038751363,0.6872234603042967,0.5782200499519368,0.602390972931457,0.6402984966984774,0.47885687189917187,0.22300762424367637,0.2599295250659588,0.6402984966984774,1.0,0.23065484987747878,35.20440732517316,15.254665902030988,-0.5548281008604224,9.694463547228628
