beta,rho,D,seed,fixed_magnitude,error_mode,propensity_on,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_prop_coef_E1_true,diag_eff_coef_obs,diag_eff_coef_true,cfg_niche_shape,cfg_quality_link,cfg_env_corr,cfg_propensity_learner,cfg_retain_rate,cfg_n_occ,diag_true_sep_E1,diag_obs_sep_E1,diag_pooled_var_E1_true,diag_pooled_var_E1_obs,diag_rho_D,diag_grain,diag_corr_len,pred_mu_delta,pred_pooled_var_obs,pred_reliability,rho_sp_IPW_k0.25,rho_sp_IPW_k0.5,rho_sp_IPW_k1,rho_sp_IPW_k2,rho_sp_IPW_k4,env_width_D,env_best_rec,env_best_kappa,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp,variant,regime
3.0,0.0,10.0,0,1,blend,obs,0.603,0.8922188269282564,0.9888265488460659,0.9979837959816686,0.7414519719977307,0.9367325700208131,0.8647008216080868,0.8868053627848371,0.9861937790888217,0.9679589706480353,0.8254512290922759,0.9693886754859143,0.91416212149373,0.8386720311912916,0.9734633857401566,0.9317787515707933,0.9373126783302229,0.9962241590871235,0.9994112965214806,0.8156850332313432,0.9665543866476726,0.9539867926899233,0.8750448043572522,0.985950365886208,0.9675221128328184,0.9139920007393694,0.8910019994394671,0.365334552768809,48.04360580788822,5.206748408857838,0.8119761301710497,0.1555789666188678,3.1181404193355813,3.3466142626336706,5.600444593701082,3.348307663427268,5.5501717284063945,gaussian,linear,0.0,logit_quad,0.6,3000,0.7170680376381457,0.6452115520657974,0.1597759990717959,0.2716641362526734,0.7969608706296997,1,12.0,0.0723433806375081,0.2830671668421225,0.5644455372703439,0.8745681864379016,0.8866256018281946,0.9141717480162858,0.9247456620875293,0.6506712820258846,0.41491620194961965,0.9247456620875293,2.0,0.2726667664663626,62.95098279201028,5.648965819922765,0.07185648557234829,9.739829918291601,base,iso
3.0,0.0,10.0,1,1,blend,obs,0.5963333333333334,0.8769599436426996,0.9856773871338119,0.9980416536413351,0.7308199767075563,0.9329669225930087,0.8583997261535545,0.8732083280383401,0.9831335730526714,0.9607928366379914,0.8180488260977534,0.9678444774167756,0.9091620087808696,0.8258409079134169,0.9698761776485062,0.9231684737580487,0.9213696626800969,0.9942305499203038,0.9993285318595654,0.8200693553684657,0.9689071890342584,0.9549073266235368,0.8418945856525277,0.9774605298461272,0.9475776485420458,0.9251420074604632,0.8856017053188381,0.6230939203767596,14.382973283563743,5.234801874002913,0.8334721915144343,0.1472192823080599,3.2282480229362562,3.3964109121912447,5.847996569214215,3.597908257731819,5.806251889622844,gaussian,linear,0.0,logit_quad,0.6,3000,0.729985653614518,0.7046164987734229,0.16101979802718194,0.27451225129657947,0.7933634057006311,1,12.0,0.07395892905460766,0.28914418898765865,0.5568840881462592,0.8688420912956214,0.8811897064954314,0.9091614044505675,0.9283498708916758,0.7021636622464293,0.43067389309842885,0.9283498708916758,2.0,0.6427223240438672,16.30358940479677,4.914942790667263,0.025369154841095004,9.816284545749628,base,iso
3.0,0.0,10.0,2,1,blend,obs,0.6073333333333333,0.8803185122543016,0.9862902387499944,0.9954445680646528,0.7414656368792716,0.9367643117403853,0.860295564453576,0.8942617582242086,0.9877084632705556,0.9710600977539504,0.8254580449610407,0.9701985654935853,0.9109082954494508,0.8359124096157318,0.9732092248748115,0.9262836010301626,0.9216341159014987,0.9941951642063435,0.9970157233657599,0.8196915384852328,0.9678442613486636,0.950846068000654,0.8386797903386858,0.9757784522316313,0.9382259051810851,0.903700459945851,0.8902426195168869,0.29982197018644074,58.20824036269942,5.262778310656296,0.8171373646750991,0.15520502762759167,2.9545019249574067,3.1528306707508853,5.4243195504617905,3.2287537588672275,5.370751172745311,gaussian,linear,0.0,logit_quad,0.6,3000,0.719560799939859,0.6538319348364503,0.1643026486538191,0.2767315041998236,0.7949891954634302,1,12.0,0.07473270498981315,0.28718064442704117,0.5721229889347941,0.8705705920981531,0.8831093653070688,0.9109104803289955,0.9484635413041511,0.4687450430746003,0.5372387682069613,0.9484635413041511,2.0,0.5915936980311226,20.680574603390593,4.994324167617572,0.06572886510340888,9.785541525108364,base,iso
3.0,0.0,10.0,3,1,blend,obs,0.5943333333333334,0.8931169086555774,0.9889318208668073,0.9968811282439326,0.7454894206281577,0.9385925576425056,0.8762757868125832,0.8867437674871208,0.9863687892014418,0.9755539934371817,0.8357438866849914,0.9728986909808107,0.9303038119873868,0.8420041261342882,0.9745393576089266,0.9432325471910689,0.9390418551897103,0.9964242740984743,0.9995468925829173,0.8141198423381457,0.9666319296205558,0.9605172296319748,0.8701980410451936,0.9846554765796662,0.9682741243126285,0.9247688899081506,0.8898789932517552,0.07770030015983759,135.82612533580377,4.975165610000817,0.8263834323158877,0.152730339332857,3.1321321739043686,3.3048765744131448,5.460530212082416,3.47886887698637,5.4818820968651085,gaussian,linear,0.0,logit_quad,0.6,3000,0.7245108764411987,0.6683657021508327,0.16626893420192923,0.2664603100047743,0.7976512547839484,1,12.0,0.07595171281668972,0.2909420768824878,0.5714846610828507,0.8881241931135642,0.9009678775735364,0.9303022126533828,0.964228718228117,0.6521396057969793,0.4144282451517042,0.964228718228117,2.0,0.0644989796409918,151.865421111504,4.811534932883859,0.056145174290366036,9.798882518205605,base,iso
3.0,0.0,10.0,4,1,blend,obs,0.5936666666666667,0.8964112674285317,0.9897982084584309,0.9990959747574839,0.7380527681961363,0.9360742157690665,0.8687595196669248,0.9013113201310766,0.9896209385328038,0.9785098633185537,0.8258091296132386,0.9707099612292521,0.9217806659720889,0.8376359645016599,0.9738645539477688,0.9372764955407547,0.9411683543988458,0.996735896050181,0.9995465184104675,0.8022137967144835,0.9625911049107471,0.9522903298384329,0.8531127255941409,0.98041543739492,0.9535211848791922,0.9053421769944863,0.8953748354419977,0.2224479199581648,53.803610038944704,4.789800625794392,0.8101404442757593,0.1584781774525432,2.9444882515906463,3.09025805387381,5.449983008354409,3.223925812353392,5.474815393125299,gaussian,linear,0.0,logit_quad,0.6,3000,0.7170443285018625,0.647838323690724,0.1653088686992228,0.28035682521549,0.7977346541514403,1,12.0,0.0720047937762812,0.29081533829769135,0.5684324274877324,0.8795351538157522,0.8919512510768146,0.9217777110045856,0.9675436716886233,0.6850520993975004,0.41017715270306454,0.9675436716886233,2.0,0.2417570221244442,57.23276444868743,5.209177424376766,0.06920600481113857,9.79324338033451,base,iso
3.0,0.0,10.0,5,1,blend,obs,0.6016666666666667,0.8783386230684638,0.9857670308073401,0.9954473128077658,0.7455467558336333,0.9396464971143258,0.8689783870295196,0.8886794534726488,0.986758771428108,0.9680614485076889,0.8313931209597734,0.971741384916117,0.9192351911080134,0.840929490241111,0.9744473018187512,0.9325720151678232,0.922484465324707,0.9942641678277669,0.997974669741878,0.8175314930943842,0.9675645771728969,0.9531605395119733,0.8451053387793795,0.9781455487936139,0.9501805684454812,0.9259374735969341,0.8859772288857723,0.1115403972288989,109.49305192459305,5.030030773354213,0.8278612408581463,0.15266298054046792,3.117565422948196,3.299129323337462,5.6242324748774735,3.3895890624512726,5.598849806575616,gaussian,linear,0.0,logit_quad,0.6,3000,0.7309525824269445,0.6695608968697161,0.16409333885007304,0.26969301063228457,0.7956799521284629,1,12.0,0.07612260878316267,0.28852919850887304,0.5687235111666757,0.8805438514219476,0.8928448369179266,0.9192348090641743,0.9262659515333419,0.6230178496084963,0.40515547543167574,0.9262659515333419,2.0,0.12030576574284053,100.0747015565576,4.930915928959745,0.06139168555722829,9.775662075282284,base,iso
3.0,1.0,10.0,0,1,blend,obs,0.603,0.7548933365775697,0.9448307128623387,0.8330889555589601,0.7414519719977307,0.9367325700208131,0.8647008216080868,0.8868053627848371,0.9861937790888217,0.9679589706480353,0.7408954326947993,0.938734027745307,0.8365448598057955,0.7591117588555827,0.9445317789828536,0.8684693354843149,0.7783337836792381,0.9528563244351757,0.8740952577987218,0.7319451745177403,0.9303067801787767,0.9082253657652479,0.7473531940968277,0.9430632001336523,0.8004135802313439,0.8181571019060632,0.943777269931135,0.9572624157141824,3.307026163818709,3.1396562575857843,0.5933899863496215,0.22835157945541923,0.5034245632731342,0.7628351799138415,5.600444593701082,0.02917865935620775,5.5501717284063945,gaussian,linear,0.0,logit_quad,0.6,3000,0.7170680376381457,0.004542144996627695,0.1597759990717959,0.19864287062372193,0.7969608706296997,1,12.0,0.0723433806375081,0.2830671668421225,0.5644455372703439,0.8568217598568582,0.8515273299862802,0.8365449575876922,0.7761438981076052,0.3999365087522492,0.6304934655435146,0.8568217598568582,0.25,0.9844072431284909,2.2811098153100677,2.5150974464999636,0.712525892641518,9.985355633014073,base,toward_HQ
3.0,1.0,10.0,1,1,blend,obs,0.5963333333333334,0.7466320959866617,0.9414555462821689,0.8167308952148147,0.7308199767075563,0.9329669225930087,0.8583997261535545,0.8732083280383401,0.9831335730526714,0.9607928366379914,0.7359466829801011,0.9377491092103875,0.8311578199189688,0.7545897888516023,0.9435835201521805,0.8648378493497282,0.7755112934876286,0.9526034174268201,0.8645167926323194,0.7364651030705942,0.9336291017521637,0.9113524127055778,0.7226775480302521,0.9321062066654044,0.7548251543178274,0.8322608699639319,0.9381942223413583,0.9482114837037932,3.8740508644937246,3.549855606827695,0.6009859777085307,0.2255624970438554,0.5506446526371778,0.797792028328459,5.847996569214215,0.18960238243677008,5.806251889622844,gaussian,linear,0.0,logit_quad,0.6,3000,0.729985653614518,0.032371783616905514,0.16101979802718194,0.204234957826052,0.7933634057006311,1,12.0,0.07395892905460766,0.28914418898765865,0.5568840881462592,0.8507257286981689,0.8456022743045937,0.8311582129848988,0.767646618736014,0.33566327477651714,0.5916686503922791,0.8507257286981689,0.25,0.9767007637720629,2.7518518850480995,2.7414736177626247,0.6976138699976124,9.967522794865953,base,toward_HQ
3.0,1.0,10.0,2,1,blend,obs,0.6073333333333333,0.7510630498664965,0.9423075215342365,0.8197993801137724,0.7414656368792716,0.9367643117403853,0.860295564453576,0.8942617582242086,0.9877084632705556,0.9710600977539504,0.7431691924191011,0.9399217273628205,0.83456127958803,0.7618147782425818,0.945944345157982,0.8645444387207232,0.7758682411092386,0.9516020699050622,0.8626192732309731,0.7421375340958526,0.9350638660579145,0.9075091032035489,0.7403824340811689,0.938469956713433,0.7800468005047558,0.8089300149885474,0.9413632661980986,0.8111891825463434,19.479816445137658,3.3733862206742375,0.6107199499048602,0.22483963369071053,0.49115910016745024,0.7288023129100184,5.4243195504617905,0.08501702349418262,5.370751172745311,gaussian,linear,0.0,logit_quad,0.6,3000,0.719560799939859,0.01668830219586931,0.1643026486538191,0.20511828484774336,0.7949891954634302,1,12.0,0.07473270498981315,0.28718064442704117,0.5721229889347941,0.8539713722253838,0.8490526645784229,0.8345612549725037,0.7720289850890603,0.24105143532102805,0.5491714078758655,0.8539713722253838,0.25,0.9798833446096351,2.2845017009865938,2.6407374631999962,0.7028724977439897,9.970419640756667,base,toward_HQ
3.0,1.0,10.0,3,1,blend,obs,0.5943333333333334,0.7624046069647072,0.9477447688916801,0.8416773997611368,0.7454894206281577,0.9385925576425056,0.8762757868125832,0.8867437674871208,0.9863687892014418,0.9755539934371817,0.7455648181061578,0.9413573450541292,0.8510582475683148,0.7638002965924587,0.9469602548717695,0.8802610573102644,0.7865648785648287,0.9561571607359886,0.8838373353198907,0.7310241792334972,0.9303509346708847,0.9187254356510265,0.7436314136316337,0.9422188646281614,0.7910532913324215,0.8236325856286852,0.943221712879807,0.923835203337564,8.250626490888001,3.1734476109161993,0.6044847000637353,0.2274344682770729,0.4402053458770558,0.6535571965239981,5.460530212082416,0.07525010792715722,5.4818820968651085,gaussian,linear,0.0,logit_quad,0.6,3000,0.7245108764411987,0.012216433257122183,0.16626893420192923,0.20525640769653425,0.7976512547839484,1,12.0,0.07595171281668972,0.2909420768824878,0.5714846610828507,0.8698852744773068,0.8650287380936584,0.8510582879931385,0.7952467536138486,0.4607908058767464,0.6492377663419726,0.8698852744773068,0.25,0.9791080751669382,3.424433938746815,2.666460813698173,0.7122944431840764,9.988415244625,base,toward_HQ
