level,band,n,mean_div,lo2.5,hi97.5
3,"[0.0, 0.1)",19742,0.0086,0.0068,0.0101
3,"[0.1, 0.3)",14693,0.0076,0.006,0.0089
3,"[0.3, 0.5)",8240,0.0053,0.004,0.007
3,"[0.5, 0.7)",4634,0.0026,0.0012,0.0044
3,"[0.7, 1.0)",2503,0.0001,-0.0016,0.0017
10,"[0.0, 0.1)",19742,0.0272,0.0251,0.0301
10,"[0.1, 0.3)",14693,0.0254,0.0236,0.0281
10,"[0.3, 0.5)",8240,0.0191,0.0174,0.0211
10,"[0.5, 0.7)",4634,0.0135,0.0117,0.0154
10,"[0.7, 1.0)",2503,0.0055,0.0043,0.0074
20,"[0.0, 0.1)",19742,0.0561,0.0537,0.059
20,"[0.1, 0.3)",14693,0.0518,0.0503,0.054
20,"[0.3, 0.5)",8240,0.0393,0.0366,0.0415
20,"[0.5, 0.7)",4634,0.0296,0.0278,0.0319
20,"[0.7, 1.0)",2503,0.0134,0.012,0.0149
