name,unit,n,retain,med_unc_low_m,rho_bar_u,contamination_scale,auc,brier,ess_p99,dess,eff_coef_obs,eff_coef_calib,coef_gap,calib_coverage,smd_before,smd_after
amphibia,group,36044,0.5943291532571302,250.0,0.9791862541701452,0.020813745829854846,0.6486282374212504,0.22791615640242432,0.9034717505023545,0.00513273706998052,-0.020695005027926337,-0.01740037093855191,0.0032946340893744257,0.25194911776774725,0.059815416394386464,0.015419233983709651
Bufo bufo,species,9565,0.6403554626241506,250.0,0.9836046223402947,0.016395377659705335,0.6405085429520645,0.22259788816705225,0.8873154698986921,0.016308562454153797,-0.0177288415574713,-0.015851277285920805,0.0018775642715504956,0.20755813953488372,0.06247027837850755,0.048686167242429905
Ichthyosaura alpestris,species,3564,0.5976430976430976,250.0,0.9858636341827445,0.014136365817255525,0.6498821380163828,0.22890674646174952,0.8780520731327576,-0.0025489809917849104,-0.02645633720984981,-0.022666208266482517,0.0037901289433672943,0.2524407252440725,0.06678290310522816,0.05994388560117065
Lissotriton vulgaris,species,2809,0.607689569241723,250.0,0.979251470079663,0.020748529920337044,0.5974215278818827,0.24485926919350057,0.8154892663243307,0.0011142042364125082,-0.009473876550548509,-0.00943995806921928,3.391848132922905e-05,0.19147005444646098,0.07341101996589337,0.03591712447770503
Pelophylax lessonae,species,2313,0.3220925205361003,250.0,0.9957991910571901,0.0042008089428099415,0.5733713703602246,0.22507984461535832,0.21396667304582828,0.016566566365802893,-0.12123583751101706,-0.12721120227815425,0.005975364767137184,0.024872448979591837,0.12459032771896271,0.3542794218771289
Rana temporaria,species,5407,0.5884963935638986,250.0,0.9883741240161195,0.01162587598388054,0.6226707109513485,0.23845001288348266,0.8234323247226469,-0.0025232225527206387,0.025383316285274668,0.02961575258024506,0.004232436294970391,0.17617977528089887,0.07385223368041242,0.014834290158602876
Salamandra salamandra,species,2810,0.694306049822064,250.0,0.9594012113738347,0.04059878862616528,0.6308424264085938,0.20896154838405737,0.8827457982732916,0.0129935477702946,-0.08557653292059086,-0.09130953459113501,0.0057330016705441494,0.40046565774155995,0.06431722715138648,0.026104375582180993
asteraceae,group,29363,0.6545652692163607,250.0,0.9864559299332499,0.013544070066750069,0.5905008764880728,0.22397634447196071,0.9581188691191779,-0.00015921525289375182,0.07130151120998979,0.07145239714289336,0.0001508859329035772,0.1963916001183082,0.03969426729117123,0.010270381413705813
Bellis perennis,species,3327,0.541629095281034,250.0,0.9900224380008242,0.009977561999175766,0.5163001037099034,0.25879792168894955,0.9218247023345931,0.00607706619617876,-0.003590776994203028,-0.004018274016280385,0.00042749702207735664,0.10819672131147541,0.03793978884839178,0.02206461847749107
Tussilago farfara,species,5458,0.7407475265665079,250.0,0.9881783376342648,0.01182166236573523,0.5664915759822193,0.19299945603676708,0.9799754591965134,0.0019903842991015885,0.062499280964029076,0.06243205081769358,6.723014633549379e-05,0.16042402826855123,0.026577292248694154,0.011267134522493937
