datasetKey,n_records
04169fce-7d4f-41f7-9dff-245960f5b59e,1
09e4759b-1ff0-4e7d-9704-18b87ec05132,2
0c4bf92b-95c9-4a2a-9756-67d98195459f,878
0dac68d7-afad-4710-a871-3233ffe0c0d3,6
0debafd0-6c8a-11de-8225-b8a03c50a862,2
16965647-4120-4e0b-aa57-1eeaf028606e,16
1d5b6d93-00b2-4bbe-9574-a78c8ed9d718,24
264e6a66-9c9e-4115-9aec-29d694c68097,1
292a71df-588b-48fa-9ab5-29ae868ba88c,1
2f54cb88-4167-499a-81fb-0a2d02465212,1
3470d506-e667-4e3f-b178-819669684c05,2934
369f3a0a-f72b-403a-acef-aba99bc64b2f,2
3b5d5701-9cb0-4209-8075-63ba16b5aa0c,799
402a90d1-8180-43c4-bd7d-5799d2da6e7f,1
427a6290-0c65-11dd-84d2-b8a03c50a862,38
4852540d-afd1-4678-bd20-4aac28f65e2d,60
4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,204
4fa7b334-ce0d-4e88-aaae-2e0c138d049e,11909
50c9509d-22c7-4a22-a47d-8c48425ef4a7,9956
5345b34d-82a4-44b7-9d82-5109df1ca243,4
62e99340-528c-4baf-bbd7-bf0df2f186b9,2
6ac3f774-d9fb-4796-b3e9-92bf6c81c084,12383
6b524ea4-2593-49de-8e38-cbd87965265b,2
71d58564-f762-11e1-a439-00145eb45e9a,14
75018539-6328-41de-b875-7c2e61dc1635,46
77711782-d6c0-4b82-9772-3f6f181add46,254
7a25f7aa-03fb-4322-aaeb-66719e1a9527,55
7b8bae4e-f762-11e1-a439-00145eb45e9a,1
7bb56d54-b042-46b3-b66d-b7eaaff9c6c4,9
7e2989f0-f762-11e1-a439-00145eb45e9a,31
7e380070-f762-11e1-a439-00145eb45e9a,5
8138eb72-f762-11e1-a439-00145eb45e9a,31
829026f2-f762-11e1-a439-00145eb45e9a,1441
830fd460-f762-11e1-a439-00145eb45e9a,16
848586a4-a07b-4974-9f12-e1bbe0736a21,38
84b18cce-083a-4464-bee8-25b2083a17cd,1
854cf79e-f762-11e1-a439-00145eb45e9a,49
857bce66-f762-11e1-a439-00145eb45e9a,412
85ad6c96-f762-11e1-a439-00145eb45e9a,1
8631295a-f762-11e1-a439-00145eb45e9a,19
87ed95eb-4ead-465e-9c3a-7d9e9be4035d,3
889c91a3-614f-4355-8df8-b6d0260a118c,4
8a5cbaec-2839-4471-9e1d-98df301095dd,20
8a863029-f435-446a-821e-275f4f641165,5771
8be43f9b-52e7-47d4-be3e-dbcc066d70ab,19
8ea87d00-f94e-4221-8f2f-2e9150132361,1
91aa5e23-9cad-4751-86e0-241da77d7407,37
94596968-b143-4622-9b66-01a733bccc33,1
962f59bc-f762-11e1-a439-00145eb45e9a,2
96570b1a-f762-11e1-a439-00145eb45e9a,70
96653d3e-f762-11e1-a439-00145eb45e9a,223
96678e90-f762-11e1-a439-00145eb45e9a,384
96c93a1e-f762-11e1-a439-00145eb45e9a,19
9beef55a-b4a4-4031-a1e0-0d2bdeea2c21,197
9ce52ff6-01b6-44a2-b617-9bc2ee8e8cd1,10
a15c544c-fbbe-4fab-8ffe-349c41eb4f39,1
a307e4d7-1de2-4adc-95d5-a0a8d5f57236,27
a79c2b50-6c8a-11de-8226-b8a03c50a862,2
aa6c5ee6-d4d7-4a65-a04f-379cffbf4842,507
aad97542-a068-449d-adb3-a8e937f64cb4,2
b0dd35e8-cbae-4133-9e2b-7627b777e053,8
b1047888-ae52-4179-9dd5-5448ea342a24,148
b7ec1bf8-819b-11e2-bad2-00145eb45e9a,22
b89dcfd3-e410-4b40-907c-2348cd748060,22
ba0c03ab-fa61-4a3c-8db7-35c8c3454168,8
ba0c046d-52bb-4262-a495-652988c9f3f7,19
be5507b9-7abf-4b69-afe1-5ca2b7561734,71
c1492854-5d15-40e9-9ee7-24a18ac05112,39
c6a2ecf7-f9d2-4443-91b6-199f00aa01a2,13
c7730a08-74b4-48cd-80a7-831a19ac660d,2
d740f242-6c26-4229-9a8f-b63bfab63dc6,542
d8cd16ba-bb74-4420-821e-083f2bac17c2,3
e1beb83c-9b83-4d17-ac5e-d24e09507ec5,14
e3b959d6-fcbe-4a28-a166-e4a807c340a0,72
e3ce628e-9683-4af7-b7a9-47eef785d3bb,1
e47b30f3-e957-460f-8c5f-d299a76fc080,322
e5c5cad9-b987-4bb4-b07b-85488c5fdd80,138
e635240a-3cb1-4d26-ab87-57d8c7afdfdb,7
f269f7b1-ad56-45d0-8641-8bc0e84b411a,1
fa375330-6c8a-11de-8226-b8a03c50a862,1
fda9a8f8-6342-4f73-8c3b-8b79e62afc9d,1
fe28c4f1-7229-43b4-8f37-3fb406635d4d,40
